Wikipedia_movie_ID,title,Movie_genres,Movie_year_released,averageRating,numVotes,e_count,i_count,extro_proportion,number of characters,extroverted_bin,treatment,Propensity_score
3859075,rescue dawn,"['Docudrama', 'Escape Film', 'Action', 'Drama', 'War film', 'Biographical film', 'Adventure']",0.7191493900698601,7.3,-0.13694630254543866,3,2,0.6,5,"(0.579, 0.632]",1,0.6130785388118457
1962913,the three musketeers,"['Costume drama', 'Comedy', 'Romance Film', 'Action', 'Action/Adventure', 'Swashbuckler films', 'Family Film', 'Adventure']",-0.0687975500216244,6.2,-0.5675082026450814,0,1,0.0,1,,0,0.6301961781395437
4760936,insomnia,"['Mystery', 'Thriller', 'Psychological thriller', 'Drama', 'Suspense', 'Crime Fiction', 'Crime Thriller', 'Remake']",0.4767041777340187,5.5,-0.5674728243346251,0,2,0.0,2,,0,0.621235833341108
6934510,the stupids,"['Comedy', 'Domestic Comedy', 'Family Film', 'Slapstick']",0.11303635923025664,4.3,-0.5397991237110495,1,0,1.0,1,"(0.947, 1.0]",1,0.6269554127228498
144415,the santa clause,"['Comedy', 'Fantasy', 'Fantasy Comedy', 'Family Film', 'Holiday Film', 'Christmas movie']",-0.008186246937664047,6.5,-0.06925187094904721,4,1,0.8,5,"(0.789, 0.842]",1,0.6244617517475777
2611302,once upon a forest,"['Drama', 'Fantasy', ""Children's/Family"", 'Animation', 'Family Film', 'Adventure', ""Children's Fantasy"", 'Family-Oriented Adventure']",-0.0687975500216244,6.4,-0.5442567908285403,1,2,0.3333333333333333,3,"(0.316, 0.368]",0,0.6299756243654696
525486,the mission,"['Costume drama', 'Drama', 'Period piece', 'Christian film', 'Adventure']",-0.4930766716093468,7.0,-0.5666669850408989,0,1,0.0,1,,0,0.6370960194043698
23325348,the runaways,"['Musical', 'Drama', 'Indie', 'Biography', 'Music', 'Biographical film', 'Punk rock']",0.9615946024057015,5.7,-0.5673706203266403,1,3,0.25,4,"(0.211, 0.263]",0,0.6132001259835219
1655618,the apple dumpling gang,"['Comedy', 'Drama', ""Children's"", 'Slapstick', 'Comedy Western', ""Children's/Family"", 'Family Film']",-1.1598010055329107,6.4,-0.5425429082331029,3,4,0.42857142857142855,7,"(0.421, 0.474]",0,0.6476128438501688
805496,the black cauldron,"['Costume drama', 'Action', 'Sword and sorcery', 'Sword and sorcery films', 'Fantasy Adventure', 'Fantasy', ""Children's/Family"", 'Animation', 'Family Film', 'Adventure']",-0.5536879746933071,6.3,-0.4125551337699781,4,5,0.4444444444444444,9,"(0.421, 0.474]",0,0.6366286708958675
24228929,the town,"['Thriller', 'Drama', 'Crime Fiction', 'Crime Thriller', 'Film adaptation', 'Heist']",0.9615946024057015,5.8,-0.5673037946291118,1,2,0.3333333333333333,3,"(0.316, 0.368]",0,0.6131994809285561
600194,cool world,"['Comedy', 'Superhero movie', 'Erotic thriller', 'Action/Adventure', 'Action', 'Fantasy Comedy', 'Fantasy', 'Animation']",-0.12940885310558473,4.8,-0.471711599776255,1,0,1.0,1,"(0.947, 1.0]",1,0.6302783157328952
5138153,enchanted,"['Costume drama', 'Comedy', 'Romance Film', 'Romantic comedy', 'Musical', 'Parody', 'Fantasy', 'Family Film', 'Animation']",0.7797606931538205,7.2,-0.562185732383104,4,3,0.5714285714285714,7,"(0.526, 0.579]",1,0.616170733953821
580960,velvet goldmine,"['Musical', 'Drama', 'Indie', 'Period piece', 'Music', 'LGBT']",0.23425896539817734,6.9,-0.4196347267846172,2,2,0.5,4,"(0.474, 0.526]",1,0.6238178349846881
1267713,the others,"['Mystery', 'Horror', 'Thriller', 'Drama', 'Suspense', 'Period piece', 'Supernatural']",0.41609287465005834,6.5,-0.5673077255524959,1,3,0.25,4,"(0.211, 0.263]",0,0.6222340330928575
565318,lost in space,"['Adventure', 'Science Fiction', 'Action', 'Time travel']",0.23425896539817734,7.2,-0.5338870149414674,2,0,1.0,2,"(0.947, 1.0]",1,0.6249083576127993
5292920,hellboy,"['Superhero movie', 'Action', 'Action/Adventure', 'Thriller', 'Science Fiction', 'Creature Film', 'Fantasy', 'Supernatural', 'Superhero', 'Adventure']",0.5979267839019394,6.8,0.7840533226394014,1,2,0.3333333333333333,3,"(0.316, 0.368]",0,0.6061820123561469
2421509,another woman,"['Drama', 'Psychological thriller']",-0.37185406544142613,7.2,-0.5097157670530631,0,1,0.0,1,,0,0.6345906951490391
5641391,tinker bell,"['Fantasy', 'Computer Animation', 'Fairy tale', ""Children's/Family"", 'Family Film', 'Adventure', ""Children's Fantasy"", 'Animation']",0.8403719962377808,6.7,-0.505725879818272,11,12,0.4782608695652174,23,"(0.474, 0.526]",0,0.6146207226788007
2886036,talladega nights: the ballad of ricky bobby,"['Comedy', 'Action', 'Action/Adventure', 'Auto racing', 'Parody', 'Sports']",0.7191493900698601,6.6,0.19933633111161353,5,2,0.7142857142857143,7,"(0.684, 0.737]",1,0.6098271138701437
3610087,the virgin suicides,"['Mystery', 'Romance Film', 'Drama', 'Coming of age', 'Indie', 'Period piece', 'Teen', 'Film adaptation']",0.29487026848213765,7.2,0.07906973017719646,2,7,0.2222222222222222,9,"(0.211, 0.263]",0,0.6180401429382649
4639222,1408,"['Film adaptation', 'Horror', 'Supernatural', 'Thriller']",0.7797606931538205,6.8,0.5636110701863478,1,1,0.5,2,"(0.474, 0.526]",1,0.605278798489331
